Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"EK","Tendances dans l’élevage","040","Autriche","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","167360","E","Valeur estimée"
"EK","Tendances dans l’élevage","031","Azerbaïdjan","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.06","E","Valeur estimée"
"EK","Tendances dans l’élevage","031","Azerbaïdjan","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","10.75","E","Valeur estimée"
"EK","Tendances dans l’élevage","031","Azerbaïdjan","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","304730","E","Valeur estimée"
"EK","Tendances dans l’élevage","044","Bahamas","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","2.22","E","Valeur estimée"
"EK","Tendances dans l’élevage","044","Bahamas","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","89.58","E","Valeur estimée"
"EK","Tendances dans l’élevage","044","Bahamas","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","31070","E","Valeur estimée"
"EK","Tendances dans l’élevage","048","Bahreïn","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","10.62","E","Valeur estimée"
"EK","Tendances dans l’élevage","048","Bahreïn","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","86.63","E","Valeur estimée"
"EK","Tendances dans l’élevage","048","Bahreïn","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","91340","E","Valeur estimée"
"EK","Tendances dans l’élevage","050","Bangladesh","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.29","E","Valeur estimée"
"EK","Tendances dans l’élevage","050","Bangladesh","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","12.9","E","Valeur estimée"
"EK","Tendances dans l’élevage","050","Bangladesh","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","2751830","E","Valeur estimée"
"EK","Tendances dans l’élevage","052","Barbade","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","4.87","E","Valeur estimée"
"EK","Tendances dans l’élevage","052","Barbade","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","74.97","E","Valeur estimée"
"EK","Tendances dans l’élevage","052","Barbade","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","48710","E","Valeur estimée"
"EK","Tendances dans l’élevage","112","Bélarus","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.05","E","Valeur estimée"
"EK","Tendances dans l’élevage","112","Bélarus","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","11.74","E","Valeur estimée"
"EK","Tendances dans l’élevage","112","Bélarus","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","460000","E","Valeur estimée"
"EK","Tendances dans l’élevage","056","Belgique","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.2","E","Valeur estimée"
"EK","Tendances dans l’élevage","056","Belgique","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","6.77","E","Valeur estimée"
"EK","Tendances dans l’élevage","056","Belgique","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","269050","E","Valeur estimée"
"EK","Tendances dans l’élevage","084","Belize","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.1","E","Valeur estimée"
"EK","Tendances dans l’élevage","084","Belize","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","16.11","E","Valeur estimée"
"EK","Tendances dans l’élevage","084","Belize","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","16380","E","Valeur estimée"
"EK","Tendances dans l’élevage","204","Bénin","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.05","E","Valeur estimée"
"EK","Tendances dans l’élevage","204","Bénin","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","11.56","E","Valeur estimée"
"EK","Tendances dans l’élevage","204","Bénin","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","206430","E","Valeur estimée"
"EK","Tendances dans l’élevage","064","Bhoutan","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.02","E","Valeur estimée"
"EK","Tendances dans l’élevage","064","Bhoutan","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","5.56","E","Valeur estimée"
"EK","Tendances dans l’élevage","064","Bhoutan","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","10680","E","Valeur estimée"
"EK","Tendances dans l’élevage","068","Bolivie (État plurinational de)","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.06","E","Valeur estimée"
"EK","Tendances dans l’élevage","068","Bolivie (État plurinational de)","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","19.83","E","Valeur estimée"
"EK","Tendances dans l’élevage","068","Bolivie (État plurinational de)","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","2203040","E","Valeur estimée"
"EK","Tendances dans l’élevage","070","Bosnie-Herzégovine","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.07","E","Valeur estimée"
"EK","Tendances dans l’élevage","070","Bosnie-Herzégovine","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","23.75","E","Valeur estimée"
"EK","Tendances dans l’élevage","070","Bosnie-Herzégovine","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","162820","E","Valeur estimée"
"EK","Tendances dans l’élevage","072","Botswana","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0","E","Valeur estimée"
"EK","Tendances dans l’élevage","072","Botswana","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","0.94","E","Valeur estimée"
"EK","Tendances dans l’élevage","072","Botswana","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","7100","E","Valeur estimée"
"EK","Tendances dans l’élevage","076","Brésil","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.06","E","Valeur estimée"
"EK","Tendances dans l’élevage","076","Brésil","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","7.81","E","Valeur estimée"
"EK","Tendances dans l’élevage","076","Brésil","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","14266590","E","Valeur estimée"
"EK","Tendances dans l’élevage","096","Brunéi Darussalam","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","12.72","E","Valeur estimée"
"EK","Tendances dans l’élevage","096","Brunéi Darussalam","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","97.82","E","Valeur estimée"
"EK","Tendances dans l’élevage","096","Brunéi Darussalam","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","170510","E","Valeur estimée"
"EK","Tendances dans l’élevage","100","Bulgarie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.04","E","Valeur estimée"
"EK","Tendances dans l’élevage","100","Bulgarie","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","20.34","E","Valeur estimée"
"EK","Tendances dans l’élevage","100","Bulgarie","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","177380","E","Valeur estimée"
"EK","Tendances dans l’élevage","854","Burkina Faso","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.03","E","Valeur estimée"
"EK","Tendances dans l’élevage","854","Burkina Faso","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","4.28","E","Valeur estimée"
"EK","Tendances dans l’élevage","854","Burkina Faso","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","368820","E","Valeur estimée"
"EK","Tendances dans l’élevage","108","Burundi","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.01","E","Valeur estimée"
"EK","Tendances dans l’élevage","108","Burundi","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","2.09","E","Valeur estimée"
"EK","Tendances dans l’élevage","108","Burundi","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","23000","E","Valeur estimée"
"EK","Tendances dans l’élevage","132","Cabo Verde","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.13","E","Valeur estimée"
"EK","Tendances dans l’élevage","132","Cabo Verde","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","17.73","E","Valeur estimée"
"EK","Tendances dans l’élevage","132","Cabo Verde","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","10000","E","Valeur estimée"
"EK","Tendances dans l’élevage","116","Cambodge","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.02","E","Valeur estimée"
"EK","Tendances dans l’élevage","116","Cambodge","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","4.39","E","Valeur estimée"
"EK","Tendances dans l’élevage","116","Cambodge","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","131520","E","Valeur estimée"
"EK","Tendances dans l’élevage","120","Cameroun","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.05","E","Valeur estimée"
"EK","Tendances dans l’élevage","120","Cameroun","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","10.6","E","Valeur estimée"
"EK","Tendances dans l’élevage","120","Cameroun","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","511000","E","Valeur estimée"
"EK","Tendances dans l’élevage","124","Canada","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.03","E","Valeur estimée"
