Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TI","Indices commerciaux","682","Arabie saoudite","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","1434206","E","Valeur estimée"
"TI","Indices commerciaux","682","Arabie saoudite","94","Valeur des exportations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","106704","E","Valeur estimée"
"TI","Indices commerciaux","682","Arabie saoudite","95","Valeur des exportations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","162436","E","Valeur estimée"
"TI","Indices commerciaux","032","Argentine","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","4675","E","Valeur estimée"
"TI","Indices commerciaux","032","Argentine","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","4539","E","Valeur estimée"
"TI","Indices commerciaux","032","Argentine","94","Valeur des exportations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","328999","E","Valeur estimée"
"TI","Indices commerciaux","032","Argentine","95","Valeur des exportations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","315607","E","Valeur estimée"
"TI","Indices commerciaux","051","Arménie","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","32975","E","Valeur estimée"
"TI","Indices commerciaux","051","Arménie","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","41259","E","Valeur estimée"
"TI","Indices commerciaux","036","Australie","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","34010","E","Valeur estimée"
"TI","Indices commerciaux","036","Australie","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","16014","E","Valeur estimée"
"TI","Indices commerciaux","036","Australie","94","Valeur des exportations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","44295","E","Valeur estimée"
"TI","Indices commerciaux","036","Australie","95","Valeur des exportations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","50223","E","Valeur estimée"
"TI","Indices commerciaux","040","Autriche","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","336631","E","Valeur estimée"
"TI","Indices commerciaux","040","Autriche","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","322981","E","Valeur estimée"
